區間1,區間2,類型,係數,變異數,顯著性
兩百公尺內,200,全部,1.82,8.889,0
兩百公尺內,200,教堂,74.854,10.131,3
兩百公尺內,200,寺廟,-80.13,9.873,3
兩百公尺內,200,清真寺,912.891,100.777,3
兩百至四百公尺間,400,全部,9.476,8.505,0
兩百至四百公尺間,400,教堂,-4.112,8.931,0
兩百至四百公尺間,400,寺廟,7.086,8.505,0
兩百至四百公尺間,400,清真寺,-242.197,70.979,3
四百至六百公尺間,600,全部,9.476,11.048,0
四百至六百公尺間,600,教堂,46.703,9.829,3
四百至六百公尺間,600,寺廟,35.347,9.714,3
四百至六百公尺間,600,清真寺,-164.428,56.984,3
六百至八百公尺間,800,全部,-26.362,15.377,1
六百至八百公尺間,800,教堂,-37.829,12.137,3
六百至八百公尺間,800,寺廟,58.917,12.128,3
六百至八百公尺間,800,清真寺,134.192,41.079,3
八百至一千公尺間,1000,全部,-61.38,20.047,3
八百至一千公尺間,1000,教堂,-12.237,16.264,0
八百至一千公尺間,1000,寺廟,28.073,16.113,1
八百至一千公尺間,1000,清真寺,356.655,43.781,3
